repository owner,repository name,repository url,repository stars
ljianshu,Blog,https://github.com/ljianshu/Blog,7.8k
metafizzy,infinite-scroll,https://github.com/metafizzy/infinite-scroll,7.4k
olifolkerd,tabulator,https://github.com/olifolkerd/tabulator,5.9k
developit,unfetch,https://github.com/developit/unfetch,5.7k
jquery-form,form,https://github.com/jquery-form/form,5.2k
Studio-42,elFinder,https://github.com/Studio-42/elFinder,4.5k
elbywan,wretch,https://github.com/elbywan/wretch,4.4k
dwyl,learn-to-send-email-via-google-script-html-no-server,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server,3k
ded,reqwest,https://github.com/ded/reqwest,2.9k
wendux,ajax-hook,https://github.com/wendux/ajax-hook,2.5k
LeaVerou,bliss,https://github.com/LeaVerou/bliss,2.4k
noelboss,featherlight,https://github.com/noelboss/featherlight,2.1k
craftpip,jquery-confirm,https://github.com/craftpip/jquery-confirm,1.9k
taoensso,sente,https://github.com/taoensso/sente,1.7k
nette,tracy,https://github.com/nette/tracy,1.7k
k8w,tsrpc,https://github.com/k8w/tsrpc,1.7k
loadingio,css-spinner,https://github.com/loadingio/css-spinner,1.7k
joaomilho,Enterprise,https://github.com/joaomilho/Enterprise,1.6k
codingforentrepreneurs,eCommerce,https://github.com/codingforentrepreneurs/eCommerce,1.5k
u014427391,jeeplatform,https://github.com/u014427391/jeeplatform,1.4k
